NB_SCATS_SITE,date,V00_0,V01_0,V02_0,V03_0,V04_0,V05_0,V06_0,V07_0,V08_0,V09_0,V10_0,V11_0,V12_0,V13_0,V14_0,V15_0,V16_0,V17_0,V18_0,V19_0,V20_0,V21_0,V22_0,V23_0,V24_0,V25_0,V26_0,V27_0,V28_0,V29_0,V30_0,V31_0,V32_0,V33_0,V34_0,V35_0,V36_0,V37_0,V38_0,V39_0,V40_0,V41_0,V42_0,V43_0,V44_0,V45_0,V46_0,V47_0,V48_0,V49_0,V50_0,V51_0,V52_0,V53_0,V54_0,V55_0,V56_0,V57_0,V58_0,V59_0,V60_0,V61_0,V62_0,V63_0,V64_0,V65_0,V66_0,V67_0,V68_0,V69_0,V70_0,V71_0,V72_0,V73_0,V74_0,V75_0,V76_0,V77_0,V78_0,V79_0,V80_0,V81_0,V82_0,V83_0,V84_0,V85_0,V86_0,V87_0,V88_0,V89_0,V90_0,V91_0,V92_0,V93_0,V94_0,V95_0
100,2024-01-01,57.0,162.0,156.0,190.0,171.0,155.0,174.0,179.0,106.0,112.0,90.0,62.0,66.0,73.0,51.0,36.0,37.0,29.0,22.0,34.0,26.0,31.0,37.0,54.0,39.0,50.0,53.0,65.0,70.0,62.0,73.0,78.0,69.0,93.0,98.0,97.0,102.0,116.0,153.0,176.0,158.0,197.0,191.0,228.0,201.0,240.0,270.0,224.0,300.0,239.0,275.0,240.0,255.0,256.0,229.0,263.0,271.0,245.0,276.0,227.0,311.0,275.0,247.0,233.0,247.0,241.0,222.0,233.0,236.0,254.0,227.0,234.0,203.0,161.0,172.0,162.0,153.0,138.0,169.0,140.0,145.0,150.0,149.0,166.0,132.0,171.0,141.0,131.0,129.0,119.0,100.0,97.0,85.0,65.0,53.0,50.0
100,2024-01-02,51.0,45.0,42.0,34.0,26.0,18.0,23.0,16.0,29.0,19.0,9.0,12.0,12.0,13.0,15.0,17.0,5.0,12.0,20.0,24.0,36.0,27.0,60.0,76.0,78.0,67.0,127.0,122.0,134.0,167.0,192.0,178.0,228.0,222.0,232.0,241.0,198.0,201.0,239.0,271.0,271.0,272.0,265.0,318.0,276.0,317.0,313.0,318.0,331.0,341.0,323.0,345.0,343.0,301.0,338.0,343.0,316.0,348.0,358.0,319.0,367.0,372.0,382.0,391.0,385.0,374.0,336.0,353.0,385.0,361.0,327.0,320.0,291.0,225.0,207.0,183.0,196.0,163.0,156.0,143.0,151.0,144.0,150.0,115.0,125.0,140.0,127.0,121.0,118.0,97.0,100.0,84.0,87.0,80.0,66.0,63.0
100,2024-01-03,54.0,47.0,27.0,26.0,20.0,21.0,17.0,12.0,18.0,12.0,14.0,11.0,4.0,9.0,8.0,13.0,10.0,11.0,26.0,25.0,24.0,24.0,58.0,76.0,60.0,88.0,128.0,146.0,113.0,169.0,197.0,213.0,229.0,246.0,234.0,259.0,226.0,221.0,244.0,253.0,252.0,280.0,261.0,291.0,300.0,309.0,319.0,323.0,354.0,311.0,333.0,332.0,339.0,325.0,341.0,353.0,335.0,333.0,349.0,373.0,354.0,404.0,384.0,368.0,398.0,408.0,377.0,414.0,452.0,460.0,421.0,393.0,373.0,315.0,246.0,242.0,208.0,190.0,182.0,168.0,171.0,192.0,181.0,156.0,164.0,166.0,152.0,144.0,171.0,120.0,114.0,119.0,77.0,105.0,67.0,62.0
100,2024-01-04,48.0,48.0,37.0,22.0,30.0,23.0,23.0,20.0,23.0,18.0,13.0,16.0,9.0,7.0,16.0,5.0,14.0,15.0,22.0,23.0,26.0,38.0,64.0,74.0,81.0,98.0,139.0,141.0,120.0,172.0,210.0,256.0,220.0,255.0,250.0,251.0,244.0,264.0,278.0,303.0,271.0,290.0,322.0,299.0,321.0,325.0,369.0,357.0,354.0,355.0,387.0,316.0,299.0,329.0,317.0,366.0,344.0,377.0,370.0,362.0,356.0,391.0,404.0,361.0,356.0,456.0,446.0,442.0,446.0,508.0,464.0,418.0,349.0,308.0,290.0,260.0,257.0,226.0,222.0,214.0,198.0,231.0,171.0,175.0,230.0,175.0,191.0,160.0,177.0,135.0,132.0,132.0,98.0,89.0,78.0,53.0
100,2024-01-05,46.0,46.0,41.0,28.0,31.0,36.0,21.0,21.0,34.0,11.0,16.0,16.0,13.0,8.0,10.0,16.0,7.0,21.0,17.0,30.0,26.0,36.0,70.0,74.0,63.0,102.0,150.0,141.0,118.0,173.0,212.0,215.0,241.0,247.0,268.0,267.0,258.0,257.0,281.0,300.0,290.0,262.0,308.0,333.0,342.0,330.0,377.0,343.0,341.0,385.0,339.0,386.0,364.0,329.0,372.0,363.0,352.0,322.0,400.0,382.0,398.0,414.0,376.0,360.0,386.0,403.0,407.0,405.0,414.0,420.0,402.0,388.0,293.0,341.0,250.0,247.0,253.0,222.0,229.0,205.0,160.0,203.0,178.0,156.0,203.0,235.0,161.0,187.0,199.0,167.0,149.0,148.0,101.0,109.0,84.0,85.0
101,2024-01-01,23.0,65.0,82.0,77.0,49.0,63.0,51.0,50.0,34.0,28.0,42.0,20.0,17.0,23.0,9.0,13.0,14.0,17.0,8.0,9.0,7.0,8.0,14.0,15.0,11.0,19.0,16.0,24.0,26.0,21.0,18.0,33.0,37.0,32.0,42.0,61.0,61.0,69.0,69.0,97.0,84.0,116.0,135.0,142.0,143.0,164.0,153.0,186.0,200.0,214.0,218.0,252.0,177.0,200.0,180.0,207.0,208.0,215.0,193.0,195.0,188.0,172.0,167.0,165.0,189.0,167.0,150.0,166.0,134.0,163.0,143.0,148.0,141.0,152.0,170.0,121.0,110.0,96.0,116.0,120.0,99.0,83.0,85.0,88.0,85.0,64.0,65.0,59.0,44.0,33.0,31.0,26.0,20.0,18.0,19.0,15.0
101,2024-01-02,11.0,11.0,10.0,6.0,17.0,10.0,9.0,11.0,7.0,12.0,4.0,11.0,6.0,4.0,5.0,7.0,5.0,14.0,19.0,22.0,16.0,18.0,32.0,40.0,39.0,63.0,55.0,82.0,86.0,79.0,92.0,133.0,123.0,123.0,132.0,171.0,158.0,172.0,165.0,181.0,192.0,208.0,242.0,236.0,231.0,219.0,248.0,258.0,264.0,256.0,270.0,285.0,283.0,239.0,266.0,291.0,260.0,251.0,259.0,259.0,291.0,262.0,305.0,264.0,284.0,212.0,222.0,214.0,225.0,190.0,188.0,168.0,163.0,150.0,121.0,120.0,96.0,106.0,100.0,92.0,73.0,63.0,66.0,68.0,63.0,68.0,50.0,52.0,55.0,37.0,36.0,26.0,20.0,18.0,21.0,22.0
101,2024-01-03,16.0,18.0,15.0,10.0,26.0,7.0,10.0,14.0,6.0,12.0,4.0,9.0,5.0,7.0,10.0,11.0,9.0,17.0,15.0,16.0,28.0,23.0,35.0,56.0,55.0,61.0,68.0,86.0,93.0,95.0,108.0,143.0,126.0,126.0,151.0,164.0,155.0,167.0,170.0,180.0,204.0,239.0,242.0,238.0,203.0,228.0,240.0,265.0,300.0,258.0,262.0,256.0,231.0,222.0,225.0,253.0,237.0,256.0,261.0,280.0,254.0,293.0,269.0,250.0,259.0,268.0,275.0,276.0,261.0,299.0,247.0,258.0,229.0,203.0,162.0,137.0,144.0,136.0,127.0,122.0,122.0,96.0,91.0,90.0,97.0,61.0,65.0,54.0,57.0,50.0,42.0,31.0,26.0,23.0,27.0,21.0
101,2024-01-04,26.0,14.0,13.0,7.0,16.0,9.0,11.0,14.0,10.0,13.0,8.0,5.0,7.0,7.0,8.0,5.0,7.0,13.0,18.0,14.0,19.0,27.0,32.0,59.0,58.0,62.0,68.0,91.0,93.0,93.0,94.0,161.0,138.0,134.0,131.0,163.0,156.0,186.0,219.0,181.0,196.0,222.0,358.0,258.0,274.0,247.0,256.0,267.0,273.0,263.0,339.0,274.0,281.0,289.0,290.0,275.0,270.0,280.0,288.0,269.0,295.0,252.0,257.0,267.0,317.0,287.0,327.0,291.0,286.0,300.0,231.0,247.0,229.0,187.0,172.0,148.0,159.0,143.0,127.0,137.0,143.0,112.0,100.0,76.0,116.0,89.0,62.0,76.0,60.0,51.0,46.0,41.0,26.0,40.0,12.0,10.0
101,2024-01-05,28.0,23.0,15.0,6.0,11.0,6.0,14.0,12.0,7.0,7.0,9.0,11.0,8.0,7.0,11.0,14.0,5.0,18.0,8.0,18.0,18.0,27.0,29.0,48.0,53.0,62.0,62.0,112.0,83.0,90.0,111.0,148.0,155.0,134.0,154.0,215.0,178.0,185.0,219.0,237.0,208.0,262.0,271.0,254.0,287.0,278.0,402.0,559.0,473.0,468.0,412.0,385.0,331.0,317.0,267.0,296.0,270.0,298.0,298.0,277.0,291.0,303.0,280.0,271.0,314.0,315.0,319.0,264.0,308.0,331.0,267.0,227.0,223.0,263.0,216.0,174.0,162.0,167.0,177.0,143.0,125.0,145.0,129.0,140.0,111.0,100.0,84.0,70.0,72.0,72.0,55.0,45.0,41.0,43.0,30.0,32.0
