date,time,NB_SCATS_SITE,scat_type,day_type,school_count,Flow
2014-01-01,00:00,100,INT,New Year's Day,2.0,46.0
2014-01-01,00:15,100,INT,New Year's Day,2.0,117.0
2014-01-01,00:30,100,INT,New Year's Day,2.0,182.0
2014-01-01,00:45,100,INT,New Year's Day,2.0,208.0
2014-01-01,01:00,100,INT,New Year's Day,2.0,194.0
2014-01-01,01:15,100,INT,New Year's Day,2.0,187.0
2014-01-01,01:30,100,INT,New Year's Day,2.0,170.0
2014-01-01,01:45,100,INT,New Year's Day,2.0,135.0
2014-01-01,02:00,100,INT,New Year's Day,2.0,147.0
2014-01-01,02:15,100,INT,New Year's Day,2.0,105.0
2014-01-01,02:30,100,INT,New Year's Day,2.0,78.0
2014-01-01,02:45,100,INT,New Year's Day,2.0,67.0
2014-01-01,03:00,100,INT,New Year's Day,2.0,61.0
2014-01-01,03:15,100,INT,New Year's Day,2.0,53.0
2014-01-01,03:30,100,INT,New Year's Day,2.0,46.0
2014-01-01,03:45,100,INT,New Year's Day,2.0,38.0
2014-01-01,04:00,100,INT,New Year's Day,2.0,43.0
2014-01-01,04:15,100,INT,New Year's Day,2.0,32.0
2014-01-01,04:30,100,INT,New Year's Day,2.0,35.0
2014-01-01,04:45,100,INT,New Year's Day,2.0,22.0
2014-01-01,05:00,100,INT,New Year's Day,2.0,30.0
2014-01-01,05:15,100,INT,New Year's Day,2.0,22.0
2014-01-01,05:30,100,INT,New Year's Day,2.0,27.0
2014-01-01,05:45,100,INT,New Year's Day,2.0,27.0
2014-01-01,06:00,100,INT,New Year's Day,2.0,40.0
2014-01-01,06:15,100,INT,New Year's Day,2.0,30.0
2014-01-01,06:30,100,INT,New Year's Day,2.0,48.0
2014-01-01,06:45,100,INT,New Year's Day,2.0,46.0
2014-01-01,07:00,100,INT,New Year's Day,2.0,45.0
2014-01-01,07:15,100,INT,New Year's Day,2.0,37.0
2014-01-01,07:30,100,INT,New Year's Day,2.0,71.0
2014-01-01,07:45,100,INT,New Year's Day,2.0,51.0
2014-01-01,08:00,100,INT,New Year's Day,2.0,56.0
2014-01-01,08:15,100,INT,New Year's Day,2.0,50.0
2014-01-01,08:30,100,INT,New Year's Day,2.0,85.0
2014-01-01,08:45,100,INT,New Year's Day,2.0,88.0
2014-01-01,09:00,100,INT,New Year's Day,2.0,102.0
2014-01-01,09:15,100,INT,New Year's Day,2.0,95.0
2014-01-01,09:30,100,INT,New Year's Day,2.0,111.0
2014-01-01,09:45,100,INT,New Year's Day,2.0,120.0
2014-01-01,10:00,100,INT,New Year's Day,2.0,135.0
2014-01-01,10:15,100,INT,New Year's Day,2.0,142.0
2014-01-01,10:30,100,INT,New Year's Day,2.0,163.0
2014-01-01,10:45,100,INT,New Year's Day,2.0,186.0
2014-01-01,11:00,100,INT,New Year's Day,2.0,233.0
2014-01-01,11:15,100,INT,New Year's Day,2.0,214.0
2014-01-01,11:30,100,INT,New Year's Day,2.0,248.0
2014-01-01,11:45,100,INT,New Year's Day,2.0,269.0
2014-01-01,12:00,100,INT,New Year's Day,2.0,268.0
2014-01-01,12:15,100,INT,New Year's Day,2.0,280.0
2014-01-01,12:30,100,INT,New Year's Day,2.0,300.0
2014-01-01,12:45,100,INT,New Year's Day,2.0,294.0
2014-01-01,13:00,100,INT,New Year's Day,2.0,262.0
2014-01-01,13:15,100,INT,New Year's Day,2.0,244.0
2014-01-01,13:30,100,INT,New Year's Day,2.0,275.0
2014-01-01,13:45,100,INT,New Year's Day,2.0,251.0
2014-01-01,14:00,100,INT,New Year's Day,2.0,281.0
2014-01-01,14:15,100,INT,New Year's Day,2.0,266.0
2014-01-01,14:30,100,INT,New Year's Day,2.0,264.0
2014-01-01,14:45,100,INT,New Year's Day,2.0,225.0
2014-01-01,15:00,100,INT,New Year's Day,2.0,261.0
2014-01-01,15:15,100,INT,New Year's Day,2.0,247.0
2014-01-01,15:30,100,INT,New Year's Day,2.0,256.0
2014-01-01,15:45,100,INT,New Year's Day,2.0,249.0
2014-01-01,16:00,100,INT,New Year's Day,2.0,231.0
2014-01-01,16:15,100,INT,New Year's Day,2.0,212.0
2014-01-01,16:30,100,INT,New Year's Day,2.0,242.0
2014-01-01,16:45,100,INT,New Year's Day,2.0,224.0
2014-01-01,17:00,100,INT,New Year's Day,2.0,237.0
2014-01-01,17:15,100,INT,New Year's Day,2.0,242.0
2014-01-01,17:30,100,INT,New Year's Day,2.0,240.0
2014-01-01,17:45,100,INT,New Year's Day,2.0,190.0
2014-01-01,18:00,100,INT,New Year's Day,2.0,231.0
2014-01-01,18:15,100,INT,New Year's Day,2.0,190.0
2014-01-01,18:30,100,INT,New Year's Day,2.0,200.0
2014-01-01,18:45,100,INT,New Year's Day,2.0,195.0
2014-01-01,19:00,100,INT,New Year's Day,2.0,167.0
2014-01-01,19:15,100,INT,New Year's Day,2.0,172.0
2014-01-01,19:30,100,INT,New Year's Day,2.0,150.0
2014-01-01,19:45,100,INT,New Year's Day,2.0,142.0
2014-01-01,20:00,100,INT,New Year's Day,2.0,144.0
2014-01-01,20:15,100,INT,New Year's Day,2.0,137.0
2014-01-01,20:30,100,INT,New Year's Day,2.0,125.0
2014-01-01,20:45,100,INT,New Year's Day,2.0,124.0
2014-01-01,21:00,100,INT,New Year's Day,2.0,152.0
2014-01-01,21:15,100,INT,New Year's Day,2.0,150.0
2014-01-01,21:30,100,INT,New Year's Day,2.0,143.0
2014-01-01,21:45,100,INT,New Year's Day,2.0,147.0
2014-01-01,22:00,100,INT,New Year's Day,2.0,129.0
2014-01-01,22:15,100,INT,New Year's Day,2.0,113.0
2014-01-01,22:30,100,INT,New Year's Day,2.0,126.0
2014-01-01,22:45,100,INT,New Year's Day,2.0,86.0
2014-01-01,23:00,100,INT,New Year's Day,2.0,94.0
2014-01-01,23:15,100,INT,New Year's Day,2.0,64.0
2014-01-01,23:30,100,INT,New Year's Day,2.0,78.0
2014-01-01,23:45,100,INT,New Year's Day,2.0,62.0
2014-01-02,00:00,100,INT,normal,2.0,46.0
2014-01-02,00:15,100,INT,normal,2.0,34.0
2014-01-02,00:30,100,INT,normal,2.0,40.0
2014-01-02,00:45,100,INT,normal,2.0,35.0
2014-01-02,01:00,100,INT,normal,2.0,18.0
2014-01-02,01:15,100,INT,normal,2.0,14.0
2014-01-02,01:30,100,INT,normal,2.0,22.0
2014-01-02,01:45,100,INT,normal,2.0,15.0
2014-01-02,02:00,100,INT,normal,2.0,15.0
2014-01-02,02:15,100,INT,normal,2.0,15.0
2014-01-02,02:30,100,INT,normal,2.0,9.0
2014-01-02,02:45,100,INT,normal,2.0,14.0
2014-01-02,03:00,100,INT,normal,2.0,8.0
2014-01-02,03:15,100,INT,normal,2.0,14.0
2014-01-02,03:30,100,INT,normal,2.0,10.0
2014-01-02,03:45,100,INT,normal,2.0,9.0
2014-01-02,04:00,100,INT,normal,2.0,19.0
2014-01-02,04:15,100,INT,normal,2.0,14.0
2014-01-02,04:30,100,INT,normal,2.0,17.0
2014-01-02,04:45,100,INT,normal,2.0,16.0
2014-01-02,05:00,100,INT,normal,2.0,22.0
2014-01-02,05:15,100,INT,normal,2.0,28.0
2014-01-02,05:30,100,INT,normal,2.0,46.0
2014-01-02,05:45,100,INT,normal,2.0,47.0
2014-01-02,06:00,100,INT,normal,2.0,47.0
2014-01-02,06:15,100,INT,normal,2.0,66.0
2014-01-02,06:30,100,INT,normal,2.0,97.0
2014-01-02,06:45,100,INT,normal,2.0,93.0
2014-01-02,07:00,100,INT,normal,2.0,113.0
2014-01-02,07:15,100,INT,normal,2.0,132.0
2014-01-02,07:30,100,INT,normal,2.0,189.0
2014-01-02,07:45,100,INT,normal,2.0,165.0
2014-01-02,08:00,100,INT,normal,2.0,195.0
2014-01-02,08:15,100,INT,normal,2.0,233.0
2014-01-02,08:30,100,INT,normal,2.0,236.0
2014-01-02,08:45,100,INT,normal,2.0,244.0
2014-01-02,09:00,100,INT,normal,2.0,215.0
2014-01-02,09:15,100,INT,normal,2.0,227.0
2014-01-02,09:30,100,INT,normal,2.0,227.0
2014-01-02,09:45,100,INT,normal,2.0,265.0
2014-01-02,10:00,100,INT,normal,2.0,241.0
