Date,SCATS_Number,Flow,Site_Type
2006-10-01 00:00:00,2000,365,INT
2006-10-01 00:15:00,2000,315,INT
2006-10-01 00:30:00,2000,268,INT
2006-10-01 00:45:00,2000,239,INT
2006-10-01 01:00:00,2000,207,INT
2006-10-01 01:15:00,2000,204,INT
2006-10-01 01:30:00,2000,188,INT
2006-10-01 01:45:00,2000,129,INT
2006-10-01 02:00:00,2000,171,INT
2006-10-01 02:15:00,2000,157,INT
2006-10-01 02:30:00,2000,132,INT
2006-10-01 02:45:00,2000,117,INT
2006-10-01 03:00:00,2000,135,INT
2006-10-01 03:15:00,2000,129,INT
2006-10-01 03:30:00,2000,82,INT
2006-10-01 03:45:00,2000,88,INT
2006-10-01 04:00:00,2000,97,INT
2006-10-01 04:15:00,2000,83,INT
2006-10-01 04:30:00,2000,85,INT
2006-10-01 04:45:00,2000,103,INT
2006-10-01 05:00:00,2000,82,INT
2006-10-01 05:15:00,2000,96,INT
2006-10-01 05:30:00,2000,108,INT
2006-10-01 05:45:00,2000,110,INT
2006-10-01 06:00:00,2000,101,INT
2006-10-01 06:15:00,2000,168,INT
2006-10-01 06:30:00,2000,188,INT
2006-10-01 06:45:00,2000,180,INT
2006-10-01 07:00:00,2000,194,INT
2006-10-01 07:15:00,2000,232,INT
2006-10-01 07:30:00,2000,267,INT
2006-10-01 07:45:00,2000,259,INT
2006-10-01 08:00:00,2000,243,INT
2006-10-01 08:15:00,2000,269,INT
2006-10-01 08:30:00,2000,359,INT
2006-10-01 08:45:00,2000,444,INT
2006-10-01 09:00:00,2000,473,INT
2006-10-01 09:15:00,2000,553,INT
2006-10-01 09:30:00,2000,634,INT
2006-10-01 09:45:00,2000,756,INT
2006-10-01 10:00:00,2000,718,INT
2006-10-01 10:15:00,2000,740,INT
2006-10-01 10:30:00,2000,820,INT
2006-10-01 10:45:00,2000,808,INT
2006-10-01 11:00:00,2000,775,INT
2006-10-01 11:15:00,2000,763,INT
2006-10-01 11:30:00,2000,892,INT
2006-10-01 11:45:00,2000,896,INT
2006-10-01 12:00:00,2000,922,INT
2006-10-01 12:15:00,2000,933,INT
2006-10-01 12:30:00,2000,873,INT
2006-10-01 12:45:00,2000,1042,INT
2006-10-01 13:00:00,2000,993,INT
2006-10-01 13:15:00,2000,890,INT
2006-10-01 13:30:00,2000,939,INT
2006-10-01 13:45:00,2000,863,INT
2006-10-01 14:00:00,2000,969,INT
2006-10-01 14:15:00,2000,865,INT
2006-10-01 14:30:00,2000,909,INT
2006-10-01 14:45:00,2000,847,INT
2006-10-01 15:00:00,2000,897,INT
2006-10-01 15:15:00,2000,872,INT
2006-10-01 15:30:00,2000,856,INT
2006-10-01 15:45:00,2000,894,INT
2006-10-01 16:00:00,2000,857,INT
2006-10-01 16:15:00,2000,929,INT
2006-10-01 16:30:00,2000,916,INT
2006-10-01 16:45:00,2000,956,INT
2006-10-01 17:00:00,2000,983,INT
2006-10-01 17:15:00,2000,905,INT
2006-10-01 17:30:00,2000,934,INT
2006-10-01 17:45:00,2000,882,INT
2006-10-01 18:00:00,2000,873,INT
2006-10-01 18:15:00,2000,780,INT
2006-10-01 18:30:00,2000,615,INT
2006-10-01 18:45:00,2000,603,INT
2006-10-01 19:00:00,2000,553,INT
2006-10-01 19:15:00,2000,530,INT
2006-10-01 19:30:00,2000,506,INT
2006-10-01 19:45:00,2000,418,INT
2006-10-01 20:00:00,2000,433,INT
2006-10-01 20:15:00,2000,381,INT
2006-10-01 20:30:00,2000,344,INT
2006-10-01 20:45:00,2000,368,INT
2006-10-01 21:00:00,2000,403,INT
2006-10-01 21:15:00,2000,412,INT
2006-10-01 21:30:00,2000,381,INT
2006-10-01 21:45:00,2000,360,INT
2006-10-01 22:00:00,2000,339,INT
2006-10-01 22:15:00,2000,287,INT
2006-10-01 22:30:00,2000,290,INT
2006-10-01 22:45:00,2000,222,INT
2006-10-01 23:00:00,2000,205,INT
2006-10-01 23:15:00,2000,191,INT
2006-10-01 23:30:00,2000,153,INT
2006-10-01 23:45:00,2000,138,INT
2006-10-02 00:00:00,2000,134,INT
2006-10-02 00:15:00,2000,111,INT
2006-10-02 00:30:00,2000,82,INT
2006-10-02 00:45:00,2000,59,INT
2006-10-02 01:00:00,2000,71,INT
2006-10-02 01:15:00,2000,44,INT
2006-10-02 01:30:00,2000,38,INT
2006-10-02 01:45:00,2000,40,INT
2006-10-02 02:00:00,2000,34,INT
2006-10-02 02:15:00,2000,42,INT
2006-10-02 02:30:00,2000,57,INT
2006-10-02 02:45:00,2000,30,INT
2006-10-02 03:00:00,2000,25,INT
2006-10-02 03:15:00,2000,27,INT
2006-10-02 03:30:00,2000,35,INT
2006-10-02 03:45:00,2000,37,INT
2006-10-02 04:00:00,2000,47,INT
2006-10-02 04:15:00,2000,45,INT
2006-10-02 04:30:00,2000,44,INT
2006-10-02 04:45:00,2000,86,INT
2006-10-02 05:00:00,2000,78,INT
2006-10-02 05:15:00,2000,141,INT
2006-10-02 05:30:00,2000,176,INT
2006-10-02 05:45:00,2000,224,INT
2006-10-02 06:00:00,2000,303,INT
2006-10-02 06:15:00,2000,474,INT
2006-10-02 06:30:00,2000,678,INT
2006-10-02 06:45:00,2000,756,INT
2006-10-02 07:00:00,2000,936,INT
2006-10-02 07:15:00,2000,1241,INT
2006-10-02 07:30:00,2000,1261,INT
2006-10-02 07:45:00,2000,1396,INT
2006-10-02 08:00:00,2000,1276,INT
2006-10-02 08:15:00,2000,1327,INT
2006-10-02 08:30:00,2000,1216,INT
2006-10-02 08:45:00,2000,1167,INT
2006-10-02 09:00:00,2000,976,INT
2006-10-02 09:15:00,2000,876,INT
2006-10-02 09:30:00,2000,865,INT
2006-10-02 09:45:00,2000,821,INT
2006-10-02 10:00:00,2000,811,INT
2006-10-02 10:15:00,2000,808,INT
2006-10-02 10:30:00,2000,767,INT
2006-10-02 10:45:00,2000,834,INT
2006-10-02 11:00:00,2000,757,INT
2006-10-02 11:15:00,2000,790,INT
2006-10-02 11:30:00,2000,812,INT
2006-10-02 11:45:00,2000,837,INT
2006-10-02 12:00:00,2000,840,INT
2006-10-02 12:15:00,2000,791,INT
2006-10-02 12:30:00,2000,743,INT
2006-10-02 12:45:00,2000,786,INT
2006-10-02 13:00:00,2000,788,INT
2006-10-02 13:15:00,2000,852,INT
2006-10-02 13:30:00,2000,839,INT
2006-10-02 13:45:00,2000,762,INT
2006-10-02 14:00:00,2000,800,INT
2006-10-02 14:15:00,2000,831,INT
2006-10-02 14:30:00,2000,873,INT
2006-10-02 14:45:00,2000,864,INT
2006-10-02 15:00:00,2000,878,INT
2006-10-02 15:15:00,2000,915,INT
2006-10-02 15:30:00,2000,960,INT
2006-10-02 15:45:00,2000,1020,INT
2006-10-02 16:00:00,2000,1116,INT
2006-10-02 16:15:00,2000,1142,INT
2006-10-02 16:30:00,2000,1192,INT
2006-10-02 16:45:00,2000,1156,INT
2006-10-02 17:00:00,2000,1172,INT
2006-10-02 17:15:00,2000,1310,INT
2006-10-02 17:30:00,2000,1324,INT
2006-10-02 17:45:00,2000,1271,INT
2006-10-02 18:00:00,2000,1244,INT
2006-10-02 18:15:00,2000,1169,INT
2006-10-02 18:30:00,2000,994,INT
2006-10-02 18:45:00,2000,837,INT
2006-10-02 19:00:00,2000,773,INT
2006-10-02 19:15:00,2000,711,INT
2006-10-02 19:30:00,2000,639,INT
2006-10-02 19:45:00,2000,584,INT
2006-10-02 20:00:00,2000,536,INT
2006-10-02 20:15:00,2000,490,INT
2006-10-02 20:30:00,2000,448,INT
2006-10-02 20:45:00,2000,456,INT
2006-10-02 21:00:00,2000,421,INT
2006-10-02 21:15:00,2000,399,INT
2006-10-02 21:30:00,2000,395,INT
2006-10-02 21:45:00,2000,432,INT
2006-10-02 22:00:00,2000,362,INT
