NB_SCATS_SITE,date,V00_0,V01_0,V02_0,V03_0,V04_0,V05_0,V06_0,V07_0,V08_0,V09_0,V10_0,V11_0,V12_0,V13_0,V14_0,V15_0,V16_0,V17_0,V18_0,V19_0,V20_0,V21_0,V22_0,V23_0,V24_0,V25_0,V26_0,V27_0,V28_0,V29_0,V30_0,V31_0,V32_0,V33_0,V34_0,V35_0,V36_0,V37_0,V38_0,V39_0,V40_0,V41_0,V42_0,V43_0,V44_0,V45_0,V46_0,V47_0,V48_0,V49_0,V50_0,V51_0,V52_0,V53_0,V54_0,V55_0,V56_0,V57_0,V58_0,V59_0,V60_0,V61_0,V62_0,V63_0,V64_0,V65_0,V66_0,V67_0,V68_0,V69_0,V70_0,V71_0,V72_0,V73_0,V74_0,V75_0,V76_0,V77_0,V78_0,V79_0,V80_0,V81_0,V82_0,V83_0,V84_0,V85_0,V86_0,V87_0,V88_0,V89_0,V90_0,V91_0,V92_0,V93_0,V94_0,V95_0
100,2014-01-01,46.0,117.0,182.0,208.0,194.0,187.0,170.0,135.0,147.0,105.0,78.0,67.0,61.0,53.0,46.0,38.0,43.0,32.0,35.0,22.0,30.0,22.0,27.0,27.0,40.0,30.0,48.0,46.0,45.0,37.0,71.0,51.0,56.0,50.0,85.0,88.0,102.0,95.0,111.0,120.0,135.0,142.0,163.0,186.0,233.0,214.0,248.0,269.0,268.0,280.0,300.0,294.0,262.0,244.0,275.0,251.0,281.0,266.0,264.0,225.0,261.0,247.0,256.0,249.0,231.0,212.0,242.0,224.0,237.0,242.0,240.0,190.0,231.0,190.0,200.0,195.0,167.0,172.0,150.0,142.0,144.0,137.0,125.0,124.0,152.0,150.0,143.0,147.0,129.0,113.0,126.0,86.0,94.0,64.0,78.0,62.0
100,2014-01-02,46.0,34.0,40.0,35.0,18.0,14.0,22.0,15.0,15.0,15.0,9.0,14.0,8.0,14.0,10.0,9.0,19.0,14.0,17.0,16.0,22.0,28.0,46.0,47.0,47.0,66.0,97.0,93.0,113.0,132.0,189.0,165.0,195.0,233.0,236.0,244.0,215.0,227.0,227.0,265.0,241.0,299.0,271.0,341.0,319.0,328.0,336.0,411.0,373.0,415.0,372.0,347.0,377.0,341.0,376.0,394.0,377.0,363.0,321.0,383.0,405.0,415.0,445.0,443.0,427.0,472.0,471.0,473.0,531.0,588.0,518.0,454.0,408.0,369.0,333.0,261.0,245.0,253.0,210.0,215.0,178.0,188.0,180.0,150.0,194.0,214.0,182.0,154.0,152.0,164.0,128.0,120.0,104.0,114.0,85.0,78.0
100,2014-01-03,57.0,58.0,62.0,46.0,33.0,29.0,23.0,20.0,25.0,20.0,7.0,12.0,9.0,16.0,12.0,21.0,10.0,17.0,19.0,16.0,17.0,23.0,40.0,50.0,48.0,79.0,78.0,97.0,111.0,136.0,169.0,172.0,193.0,180.0,269.0,259.0,245.0,253.0,252.0,284.0,243.0,324.0,336.0,346.0,366.0,340.0,364.0,397.0,382.0,373.0,391.0,402.0,354.0,393.0,381.0,391.0,340.0,393.0,379.0,415.0,386.0,439.0,427.0,436.0,422.0,463.0,493.0,474.0,495.0,496.0,506.0,430.0,409.0,395.0,340.0,293.0,259.0,261.0,263.0,194.0,163.0,183.0,169.0,150.0,177.0,198.0,215.0,188.0,163.0,176.0,139.0,106.0,127.0,129.0,138.0,103.0
100,2014-01-04,77.0,75.0,76.0,54.0,36.0,41.0,52.0,36.0,39.0,15.0,21.0,27.0,24.0,15.0,14.0,18.0,19.0,14.0,23.0,13.0,17.0,36.0,32.0,48.0,37.0,56.0,72.0,87.0,69.0,82.0,96.0,115.0,120.0,147.0,172.0,168.0,191.0,174.0,217.0,243.0,258.0,266.0,257.0,309.0,340.0,345.0,386.0,344.0,348.0,337.0,361.0,386.0,369.0,339.0,367.0,373.0,380.0,354.0,378.0,382.0,372.0,372.0,319.0,283.0,318.0,321.0,272.0,314.0,315.0,331.0,331.0,274.0,268.0,246.0,220.0,192.0,231.0,227.0,160.0,157.0,184.0,150.0,120.0,116.0,138.0,173.0,151.0,120.0,137.0,187.0,160.0,162.0,148.0,174.0,130.0,124.0
100,2014-01-05,126.0,92.0,82.0,65.0,47.0,71.0,41.0,39.0,48.0,35.0,15.0,29.0,13.0,23.0,26.0,14.0,17.0,11.0,15.0,21.0,18.0,27.0,29.0,47.0,46.0,41.0,70.0,82.0,62.0,83.0,104.0,132.0,136.0,137.0,158.0,185.0,212.0,230.0,237.0,275.0,249.0,261.0,307.0,328.0,295.0,306.0,358.0,387.0,336.0,344.0,342.0,364.0,369.0,385.0,357.0,338.0,352.0,347.0,330.0,372.0,364.0,321.0,295.0,327.0,324.0,266.0,310.0,267.0,300.0,280.0,287.0,286.0,259.0,263.0,233.0,208.0,189.0,178.0,199.0,180.0,170.0,180.0,158.0,179.0,162.0,165.0,177.0,157.0,180.0,134.0,153.0,124.0,91.0,85.0,79.0,76.0
101,2014-01-01,30.0,82.0,133.0,161.0,140.0,147.0,106.0,92.0,79.0,70.0,63.0,42.0,36.0,42.0,32.0,30.0,30.0,27.0,37.0,35.0,20.0,24.0,24.0,22.0,25.0,29.0,32.0,28.0,40.0,37.0,48.0,30.0,50.0,41.0,56.0,62.0,63.0,61.0,75.0,91.0,107.0,126.0,146.0,149.0,168.0,183.0,192.0,230.0,222.0,277.0,257.0,231.0,253.0,257.0,240.0,237.0,239.0,261.0,225.0,248.0,224.0,198.0,173.0,212.0,192.0,206.0,194.0,230.0,197.0,207.0,227.0,206.0,208.0,196.0,181.0,165.0,180.0,130.0,147.0,132.0,115.0,146.0,110.0,102.0,116.0,110.0,80.0,83.0,66.0,62.0,59.0,51.0,38.0,29.0,31.0,39.0
101,2014-01-02,32.0,39.0,23.0,10.0,18.0,15.0,12.0,18.0,15.0,10.0,11.0,9.0,12.0,4.0,17.0,23.0,20.0,22.0,31.0,27.0,43.0,41.0,64.0,69.0,58.0,92.0,133.0,133.0,131.0,171.0,199.0,200.0,184.0,175.0,200.0,219.0,216.0,239.0,248.0,272.0,263.0,276.0,298.0,279.0,290.0,300.0,339.0,352.0,359.0,362.0,421.0,383.0,370.0,362.0,386.0,388.0,363.0,367.0,344.0,417.0,366.0,380.0,384.0,386.0,406.0,360.0,383.0,371.0,373.0,402.0,420.0,322.0,295.0,253.0,279.0,219.0,230.0,211.0,167.0,147.0,162.0,159.0,130.0,147.0,154.0,161.0,143.0,113.0,84.0,81.0,80.0,71.0,65.0,50.0,65.0,39.0
101,2014-01-03,40.0,35.0,23.0,29.0,22.0,19.0,19.0,11.0,17.0,14.0,9.0,10.0,7.0,10.0,12.0,15.0,20.0,20.0,34.0,27.0,37.0,41.0,63.0,84.0,75.0,89.0,155.0,157.0,160.0,177.0,238.0,198.0,204.0,218.0,210.0,235.0,219.0,284.0,290.0,306.0,302.0,316.0,349.0,325.0,325.0,327.0,401.0,389.0,409.0,375.0,434.0,380.0,380.0,378.0,406.0,429.0,382.0,409.0,378.0,389.0,424.0,424.0,406.0,410.0,396.0,420.0,401.0,449.0,380.0,385.0,366.0,354.0,333.0,333.0,287.0,282.0,266.0,232.0,212.0,204.0,200.0,184.0,164.0,178.0,142.0,154.0,149.0,117.0,111.0,80.0,89.0,103.0,83.0,76.0,53.0,70.0
101,2014-01-04,64.0,53.0,44.0,26.0,32.0,27.0,27.0,29.0,16.0,9.0,18.0,14.0,21.0,24.0,17.0,20.0,25.0,15.0,28.0,16.0,33.0,25.0,35.0,42.0,34.0,45.0,54.0,41.0,61.0,77.0,85.0,101.0,116.0,130.0,142.0,188.0,184.0,222.0,236.0,252.0,284.0,303.0,285.0,334.0,323.0,372.0,391.0,385.0,408.0,376.0,422.0,398.0,430.0,401.0,368.0,378.0,362.0,352.0,346.0,384.0,354.0,372.0,346.0,337.0,324.0,313.0,335.0,323.0,315.0,324.0,279.0,290.0,281.0,259.0,275.0,232.0,234.0,202.0,195.0,155.0,161.0,147.0,136.0,119.0,121.0,124.0,123.0,114.0,123.0,144.0,102.0,105.0,95.0,103.0,89.0,86.0
101,2014-01-05,94.0,81.0,77.0,77.0,54.0,48.0,37.0,40.0,56.0,41.0,36.0,28.0,47.0,36.0,15.0,14.0,17.0,12.0,10.0,21.0,27.0,23.0,24.0,36.0,19.0,25.0,43.0,39.0,36.0,38.0,41.0,67.0,77.0,61.0,85.0,122.0,145.0,181.0,193.0,223.0,201.0,236.0,286.0,266.0,287.0,283.0,325.0,334.0,356.0,393.0,384.0,376.0,395.0,384.0,354.0,316.0,351.0,343.0,316.0,345.0,325.0,335.0,326.0,374.0,349.0,343.0,266.0,283.0,247.0,289.0,259.0,233.0,230.0,195.0,185.0,182.0,151.0,117.0,131.0,140.0,128.0,131.0,136.0,152.0,98.0,112.0,104.0,97.0,63.0,59.0,78.0,60.0,43.0,58.0,31.0,33.0
