Scats,longitude,latitude,location
5168,144.377875000086,-38.2366569988309,BARWON HEADS ROAD/WARALILY BVD
2015,145.24197400045,-37.8692499992282,MELBOURNE NR HOBART (KNOX CITY)
6273,144.280338999791,-36.7613119990048,MITCHELL/QUEEN
520,145.133708999782,-38.1956659988826,MOOROODUC/SAGES
3629,144.853383999994,-37.7861339994886,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE
3170,145.283073000461,-38.1115369990355,STH GIPPS'D HWY (HIGHST) NR CHILDERS
3171,145.283487000277,-38.1092949988792,STH GIPPS'D HWY (HIGH) NR LYALL
550,144.879111000335,-38.3672059988917,EASTBOURNE RD/VILLAGE GLEN DR
3486,144.882678999933,-37.8169509990932,WILLIAMSTOWN/SHOPPING CENTRE ENT
516,145.136270000339,-38.1089339992953,SEAFORD/WELLS
3259,145.027710999581,-37.7406289991995,MURRAY/NORTHLAND SHOP EAST ACCESS RD
3612,144.922434000295,-37.6624669989102,PASCOE VALE/TAGGERTY CRES STH
3487,144.88143700001,-37.8234489990964,WILLIAMSTOWN NR THOMAS
4160,144.99294299952,-37.761825999483,ST GEORGES NR KEMP
395,145.159187000263,-38.0127869991054,HUTTON/CHAPEL
495,145.171278999637,-38.0114969990627,HUTTON/GREEN/PERRY
6258,144.244077000061,-36.7962409988957,CALDER HWY NR CAMP
2855,144.883619000413,-37.6886059992944,GLADSTONE PARK NR BELMONT
6234,143.868051999848,-36.5754119995012,CALDER HWY NR VERDON ST
3443,145.032066000268,-37.9176579990206,CENTRE NR GILBERT
5047,144.355793000298,-38.138647998806,WESTERN BEACH NR GINN
965,145.239141999989,-38.0209239994225,STH GIPPSLAND HWY/WATERVIEW
827,145.262922000192,-37.8884679993682,FERNTREE GULLY/WINDERMERE
2839,145.05596399946,-37.830684998994,CAMBERWELL NR EVANS
513,145.36674800018,-38.0441309987973,BEACONSFIELD-BERWICK/B'FIELD-EMERALD
514,145.195116999946,-38.1507119994157,CRANBOURNE-FRANKSTON/UNION/PINDARA
805,145.139219999631,-37.7794169994554,GEORGE/CHURCH
396,145.310423999998,-38.0079839994751,NARRE WARREN NTH/MARAMBA
7093,147.382081000173,-37.6984429994081,AQUEDUCT/ST HELENA SHOP CENTRE
301,145.274055000521,-37.7835699990111,PLYMOUTH/YARRA
4489,144.965826000198,-37.8267579991945,WESTGATE FWY/POWER
820,145.38789599956,-37.7900099991759,MONBULK/CLEGG
2465,145.001941999598,-37.8007199991971,JOHNSTON O/H LANE W CLARKE GANTRY 15
2466,145.002421999878,-37.8007649994855,JOHNSTON O/H LANE E CLARKE GANTRY 16
2444,144.973321000002,-37.8367509988501,QUEENS O'HEAD S KINGSWAY GANTRY 01
2456,144.990760000434,-37.7996229989992,JOHNSTON O/H LANE W HARMSWORTH GANTRY 6
2457,144.992196999853,-37.7997659993966,JOHNSTON O/H LANE W SYDNEY GANTRY 7
2458,144.993276000283,-37.7998739993667,JOHNSTON O/H LANE E HODDLE GANTRY 8
2459,144.995174999575,-37.8000589995544,JOHNSTON O/H LANE W PARK GANTRY 9
2460,144.995572999667,-37.8000969987591,JOHNSTON O/H LANE E PARK GANTRY 10
2461,144.997220999626,-37.8002579991798,JOHNSTON O/H LANE E RICH GANTRY 11
2462,144.998574000555,-37.8003899991488,JOHNSTON O/H LANE E HUNTER GANTRY 12
2463,144.99972900032,-37.8005039994219,JOHNSTON O/H LANE W TRENERRY GANTRY 13
302,145.19665000046,-38.1492249989657,CRANBOURNE-FRANK/SOUTHGATEWAY
3281,145.106998999861,-37.8927359988551,HUNTINGDALE NR ESTELLE
